start,end,nbodies,niter,threads
3458521.179566,3458522.547246,1024,1000,12
3458522.551630,3458523.902264,1024,1000,13
3458523.906354,3458525.355445,1024,1000,14
3458525.358875,3458534.069079,1024,1000,1
3458534.075831,3458539.145949,1024,1000,2
3458539.152767,3458543.634801,1024,1000,3
3458543.640992,3458546.652144,1024,1000,4
3458546.658323,3458549.605327,1024,1000,5
3458549.610910,3458551.834563,1024,1000,6
3458551.837933,3458553.971160,1024,1000,7
3458553.974680,3458555.819962,1024,1000,8
3458555.823849,3458557.648475,1024,1000,9
3458557.652261,3458559.186483,1024,1000,10
3458559.189961,3458560.716767,1024,1000,11
3458560.720520,3458562.085919,1024,1000,12
3458562.089874,3458563.521803,1024,1000,13
3458563.524983,3458564.880754,1024,1000,14
3458564.884356,3458574.715821,1024,1000,1
3458574.722873,3458580.042147,1024,1000,2
3458580.046535,3458584.646392,1024,1000,3
3458584.650648,3458587.821647,1024,1000,4
3458587.828793,3458590.490065,1024,1000,5
3458590.493482,3458592.709643,1024,1000,6
3458592.713555,3458594.864392,1024,1000,7
3458594.867935,3458596.728884,1024,1000,8
3458596.732676,3458598.420845,1024,1000,9
3458598.425070,3458600.088918,1024,1000,10
3458600.094695,3458601.611756,1024,1000,11
3458601.615064,3458602.985653,1024,1000,12
3458602.991954,3458604.645690,1024,1000,13
3458604.649422,3458605.963186,1024,1000,14
3458605.966437,3458616.140275,1024,1000,1
3458616.146959,3458621.652887,1024,1000,2
3458621.656868,3458626.050156,1024,1000,3
3458626.057179,3458629.375847,1024,1000,4
3458629.379866,3458632.065361,1024,1000,5
3458632.069348,3458634.317926,1024,1000,6
3458634.322447,3458636.325224,1024,1000,7
3458636.329081,3458638.267999,1024,1000,8
3458638.272307,3458639.940505,1024,1000,9
3458639.943915,3458641.521130,1024,1000,10
3458641.527128,3458643.232897,1024,1000,11
3458643.239220,3458644.722091,1024,1000,12
3458644.725894,3458646.168358,1024,1000,13
3458646.171902,3458647.480297,1024,1000,14
3458647.484009,3458656.193761,1024,1000,1
3458656.200089,3458661.796363,1024,1000,2
3458661.803620,3458666.412664,1024,1000,3
3458666.418174,3458669.641061,1024,1000,4
3458669.647759,3458672.515948,1024,1000,5
3458672.519391,3458674.759545,1024,1000,6
3458674.763647,3458677.149608,1024,1000,7
3458677.155346,3458678.977415,1024,1000,8
3458678.981282,3458680.675365,1024,1000,9
3458680.678749,3458682.356856,1024,1000,10
3458682.361034,3458683.878095,1024,1000,11
3458683.882426,3458685.241438,1024,1000,12
3458685.244894,3458686.716500,1024,1000,13
3458686.720275,3458688.042863,1024,1000,14
3458688.046184,3458696.769839,1024,1000,1
3458696.776931,3458702.295108,1024,1000,2
3458702.299167,3458706.605666,1024,1000,3
3458706.609464,3458709.655489,1024,1000,4
3458709.659663,3458712.444046,1024,1000,5
3458712.450334,3458714.739262,1024,1000,6
3458714.743698,3458716.826355,1024,1000,7
3458716.829916,3458718.606972,1024,1000,8
3458718.613537,3458720.345168,1024,1000,9
3458720.351070,3458721.983688,1024,1000,10
3458721.987342,3458723.563906,1024,1000,11
3458723.567661,3458725.171198,1024,1000,12
3458725.174613,3458726.571843,1024,1000,13
3458726.575790,3458727.905432,1024,1000,14
3458727.908866,3458736.832800,1024,1000,1
3458736.839785,3458742.271738,1024,1000,2
3458742.275980,3458746.683018,1024,1000,3
3458746.689522,3458749.718590,1024,1000,4
3458749.722695,3458752.550314,1024,1000,5
3458752.554111,3458754.767889,1024,1000,6
3458754.771986,3458756.998976,1024,1000,7
3458757.005505,3458758.851061,1024,1000,8
3458758.857767,3458760.572235,1024,1000,9
3458760.576084,3458762.344861,1024,1000,10
3458762.348971,3458763.868778,1024,1000,11
3458763.872268,3458765.257590,1024,1000,12
3458765.260949,3458766.652585,1024,1000,13
3458766.655989,3458768.005871,1024,1000,14
3459176.730409,3459753.433589,8192,1000,1
3459753.463328,3460070.839861,8192,1000,2
3460070.868325,3460360.572144,8192,1000,3
3460360.587026,3460570.854038,8192,1000,4
3460570.881564,3460745.034175,8192,1000,5
3460745.055732,3460893.849322,8192,1000,6
3460893.864825,3461012.124999,8192,1000,7
3461012.139076,3461121.688365,8192,1000,8
3461121.702248,3461232.128954,8192,1000,9
3461232.145398,3461317.103478,8192,1000,10
3461317.119415,3461397.674513,8192,1000,11
3461397.689839,3461470.918627,8192,1000,12
3461470.935542,3461542.587785,8192,1000,13
3461542.618701,3461599.582763,8192,1000,14
3461599.596549,3462181.190754,8192,1000,1
3462181.220633,3462506.565844,8192,1000,2
3462506.593581,3462782.358334,8192,1000,3
3462782.386506,3462993.551897,8192,1000,4
3462993.579176,3463168.414527,8192,1000,5
3463168.429621,3463320.802598,8192,1000,6
3463320.831273,3463435.974196,8192,1000,7
3463435.997551,3463547.944327,8192,1000,8
3463547.973567,3463655.187052,8192,1000,9
3463655.207163,3463743.842184,8192,1000,10
3463743.857639,3463829.636635,8192,1000,11
3463829.655067,3463897.833887,8192,1000,12
3463897.849444,3463969.132420,8192,1000,13
3463969.147092,3464019.334578,8192,1000,14
3464019.350159,3464591.225985,8192,1000,1
3464591.261303,3464911.486144,8192,1000,2
3464911.506945,3465194.889293,8192,1000,3
3465194.904779,3465398.690634,8192,1000,4
3465398.707050,3465562.183691,8192,1000,5
3465562.202587,3465711.496623,8192,1000,6
3465711.510190,3465835.015809,8192,1000,7
3465835.045108,3465944.677583,8192,1000,8
3465944.706664,3466057.420999,8192,1000,9
3466057.439920,3466142.975072,8192,1000,10
3466142.990322,3466227.813574,8192,1000,11
3466227.828415,3466296.113400,8192,1000,12
3466296.129508,3466367.379896,8192,1000,13
3466367.396446,3466418.919337,8192,1000,14
3466418.934040,3466993.448272,8192,1000,1
3466993.480303,3467313.082813,8192,1000,2
3467313.111376,3467589.794679,8192,1000,3
3467589.823620,3467799.425904,8192,1000,4
3467799.453900,3467968.306559,8192,1000,5
3467968.336569,3468114.117065,8192,1000,6
3468114.145314,3468237.096090,8192,1000,7
3468237.126930,3468348.939521,8192,1000,8
3468348.967808,3468457.189025,8192,1000,9
3468457.203663,3468547.953905,8192,1000,10
3468547.966390,3468635.219348,8192,1000,11
3468635.247361,3468701.651176,8192,1000,12
3468701.679769,3468771.496961,8192,1000,13
3468771.513913,3468821.687546,8192,1000,14
3468821.701413,3469417.829114,8192,1000,1
3469417.860268,3469739.800803,8192,1000,2
3469739.829982,3470017.462973,8192,1000,3
3470017.495965,3470226.288748,8192,1000,4
3470226.303604,3470392.861312,8192,1000,5
3470392.879732,3470544.188979,8192,1000,6
3470544.210224,3470663.075733,8192,1000,7
3470663.090541,3470775.108841,8192,1000,8
3470775.128943,3470875.517137,8192,1000,9
3470875.532409,3470961.898855,8192,1000,10
3470961.912259,3471048.187180,8192,1000,11
3471048.202127,3471114.584490,8192,1000,12
3471114.599585,3471184.267023,8192,1000,13
3471184.281839,3471238.531091,8192,1000,14
3697269.000991,3697472.556684,8192,1000,4
3697472.571519,3697645.146485,8192,1000,5
3697645.174654,3697795.947862,8192,1000,6
3697795.975529,3697906.266329,8192,1000,7
3697906.279486,3698019.082391,8192,1000,8
3698019.098380,3698131.569119,8192,1000,9
3698131.588514,3698219.281508,8192,1000,10
3698219.294283,3698305.453262,8192,1000,11
3698305.474585,3698381.930152,8192,1000,12
3698381.944551,3698454.170987,8192,1000,13
3698454.184278,3698509.290698,8192,1000,14
3698509.309593,3698719.404956,8192,1000,4
3698719.433533,3698896.494543,8192,1000,5
3698896.509284,3699047.354642,8192,1000,6
3699047.368848,3699158.951253,8192,1000,7
3699158.978592,3699268.728507,8192,1000,8
3699268.743620,3699365.232817,8192,1000,9
3699365.260404,3699449.380695,8192,1000,10
3699449.395252,3699530.446160,8192,1000,11
3699530.460193,3699599.147725,8192,1000,12
3699599.162130,3699670.045028,8192,1000,13
3699670.059969,3699722.883046,8192,1000,14
3699722.896304,3699932.446716,8192,1000,4
3699932.474674,3700104.106345,8192,1000,5
3700104.134774,3700259.834799,8192,1000,6
3700259.860655,3700378.486872,8192,1000,7
3700378.503692,3700493.255561,8192,1000,8
3700493.283891,3700600.864390,8192,1000,9
3700600.880816,3700690.353015,8192,1000,10
3700690.370340,3700774.033798,8192,1000,11
3700774.051348,3700845.350663,8192,1000,12
3700845.366427,3700911.857508,8192,1000,13
3700911.889157,3700966.928302,8192,1000,14
3700966.941461,3701178.389144,8192,1000,4
3701178.404172,3701346.348257,8192,1000,5
3701346.373649,3701501.483054,8192,1000,6
3701501.510822,3701616.911651,8192,1000,7
3701616.939619,3701727.474628,8192,1000,8
3701727.489018,3701825.803455,8192,1000,9
3701825.816672,3701912.630162,8192,1000,10
3701912.644479,3701994.773006,8192,1000,11
3701994.799538,3702067.781077,8192,1000,12
3702067.794389,3702134.597024,8192,1000,13
3702134.611592,3702188.511757,8192,1000,14
3702188.523841,3702396.451957,8192,1000,4
3702396.480111,3702569.569592,8192,1000,5
3702569.595787,3702719.028512,8192,1000,6
3702719.059559,3702838.780249,8192,1000,7
3702838.808984,3702947.793658,8192,1000,8
3702947.810050,3703045.414383,8192,1000,9
3703045.435690,3703131.261548,8192,1000,10
3703131.294793,3703213.881427,8192,1000,11
3703213.900642,3703284.358785,8192,1000,12
3703284.372508,3703357.801543,8192,1000,13
3703357.815891,3703411.405167,8192,1000,14
3703411.418225,3703615.295411,8192,1000,4
3703615.311056,3703785.228926,8192,1000,5
3703785.256453,3703930.816754,8192,1000,6
3703930.844332,3704055.385453,8192,1000,7
3704055.412842,3704165.717205,8192,1000,8
3704165.731326,3704267.630638,8192,1000,9
3704267.649782,3704354.410366,8192,1000,10
3704354.434833,3704438.546327,8192,1000,11
3704438.560820,3704503.075199,8192,1000,12
3704503.094080,3704576.613165,8192,1000,13
3704576.627621,3704628.228180,8192,1000,14
3704628.241265,3704842.173561,8192,1000,4
3704842.185964,3705013.626334,8192,1000,5
3705013.654250,3705158.515892,8192,1000,6
3705158.529293,3705274.846645,8192,1000,7
3705274.864959,3705386.087934,8192,1000,8
3705386.103075,3705485.576875,8192,1000,9
3705485.606848,3705574.710406,8192,1000,10
3705574.725297,3705661.107694,8192,1000,11
3705661.123563,3705732.421563,8192,1000,12
3705732.440342,3705797.772319,8192,1000,13
3705797.785367,3705852.492424,8192,1000,14
3705852.505463,3706059.381606,8192,1000,4
3706059.409961,3706230.914610,8192,1000,5
3706230.942394,3706381.739693,8192,1000,6
3706381.758100,3706498.661688,8192,1000,7
3706498.674658,3706604.547520,8192,1000,8
3706604.575581,3706714.031096,8192,1000,9
3706714.043600,3706798.325940,8192,1000,10
3706798.353404,3706883.297184,8192,1000,11
3706883.316630,3706947.686377,8192,1000,12
3706947.712179,3707015.731721,8192,1000,13
3707015.748018,3707081.188512,8192,1000,14
3707081.202748,3707287.094564,8192,1000,4
3707287.122510,3707460.920207,8192,1000,5
3707460.937736,3707607.785181,8192,1000,6
3707607.804870,3707724.534436,8192,1000,7
3707724.547406,3707830.343803,8192,1000,8
3707830.358322,3707936.479739,8192,1000,9
3707936.495377,3708019.826598,8192,1000,10
3708019.841515,3708104.256122,8192,1000,11
3708104.272430,3708172.464118,8192,1000,12
3708172.479126,3708245.413257,8192,1000,13
3708245.431164,3708303.724017,8192,1000,14
3708303.737169,3708511.107065,8192,1000,4
3708511.138567,3708684.618122,8192,1000,5
3708684.645452,3708831.783611,8192,1000,6
3708831.801920,3708950.560134,8192,1000,7
3708950.576557,3709058.739972,8192,1000,8
3709058.754033,3709159.951169,8192,1000,9
3709159.978416,3709245.978865,8192,1000,10
3709245.993616,3709326.371752,8192,1000,11
3709326.396141,3709392.706764,8192,1000,12
3709392.719261,3709465.662419,8192,1000,13
3709465.681092,3709526.617120,8192,1000,14
3709526.629937,3709732.677872,8192,1000,4
3709732.705343,3709902.088011,8192,1000,5
3709902.115855,3710047.128516,8192,1000,6
3710047.156279,3710163.175294,8192,1000,7
3710163.189586,3710271.407040,8192,1000,8
